,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
104,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Lokaal,52.35646558885667,4.910932103476783,American Restaurant
105,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Steakhouse Pizzeria Oost,52.35661036255487,4.911764189974464,Pizza Place
106,Weesperzijde Midden/Zuid,52.35224215,4.91153095,Athene,52.35580855609668,4.907300349510159,Greek Restaurant
107,Parooldriehoek,52.35343425,4.9136182999999996,Volkshotel,52.35374943484191,4.912250719869776,Hotel
108,Parooldriehoek,52.35343425,4.9136182999999996,The Student Hotel Amsterdam City,52.354653850765786,4.91320342946571,Hotel
109,Parooldriehoek,52.35343425,4.9136182999999996,BENJI'S,52.352436766284484,4.912935408244952,Breakfast Spot
110,Parooldriehoek,52.35343425,4.9136182999999996,Drovers Dog,52.35201803987231,4.913375095163036,Australian Restaurant
111,Parooldriehoek,52.35343425,4.9136182999999996,Werkplaats,52.353772320152814,4.9121954133961605,Bar
112,Parooldriehoek,52.35343425,4.9136182999999996,Rotisserie Rijsel,52.351527,4.912607,Restaurant
113,Parooldriehoek,52.35343425,4.9136182999999996,SwimGym,52.35425153878869,4.912655510247746,Pool
114,Parooldriehoek,52.35343425,4.9136182999999996,C Amsterdam,52.35462341689701,4.912568968739495,Modern European Restaurant
115,Parooldriehoek,52.35343425,4.9136182999999996,Canvas,52.35395172305471,4.9118582991221,Restaurant
116,Parooldriehoek,52.35343425,4.9136182999999996,Volkshotel Bar,52.35378310197982,4.911929463606807,Hotel Bar
117,Parooldriehoek,52.35343425,4.9136182999999996,Côte Wispe,52.352946,4.910421,Café
118,Parooldriehoek,52.35343425,4.9136182999999996,Volkskrantgebouw,52.354007392729116,4.91189975362831,Art Gallery
119,Parooldriehoek,52.35343425,4.9136182999999996,Hartog's Volkoren Bakkerij,52.35680817072555,4.910944117135955,Bakery
120,Parooldriehoek,52.35343425,4.9136182999999996,VondelGym East,52.354106515703045,4.9129620342544555,Gym / Fitness Center
121,Parooldriehoek,52.35343425,4.9136182999999996,Stek,52.35623873584955,4.911457300186157,Breakfast Spot
122,Parooldriehoek,52.35343425,4.9136182999999996,Beter & Leuk,52.356167,4.9099565,Café
123,Parooldriehoek,52.35343425,4.9136182999999996,4850,52.35782396898085,4.91368528611317,Wine Bar
124,Parooldriehoek,52.35343425,4.9136182999999996,The Commons Restaurant,52.35432376059896,4.9126494829021174,Hotel Bar
125,Parooldriehoek,52.35343425,4.9136182999999996,Pizza Bar Loulou,52.355826207122846,4.907393740755977,Pizza Place
126,Parooldriehoek,52.35343425,4.9136182999999996,India Roti Room,52.356111266732135,4.909876703208382,Indian Restaurant
127,Parooldriehoek,52.35343425,4.9136182999999996,Pepenero,52.35579,4.907731,Italian Restaurant
128,Parooldriehoek,52.35343425,4.9136182999999996,Pizza Heart Bar,52.349253,4.914,Pizza Place
129,Parooldriehoek,52.35343425,4.9136182999999996,TOLBAR,52.35287761475078,4.906441547218405,Bar
